symbol,context,meaning,context_len,n_interps
Turnstile,To see or walk through a turnstile in your dream," indicates that you are entering a new phase or transition in your life. You are receptive to changes. Alternatively, the dream may be a pun on your need to turn or change your style.",48,1
Turquoise,To see turquoise in your dream," symbolizes luck, success and fortune. The turquoise possess healing energy and acts to unify forces between the spirits of the earth and the air. Alternatively, the dream indicates an evil or negative force that you are trying to ward off.",30,2
Turquoise,"As a color, turquoise ","is symbolic of healing power and natural energy. It is often associated with the sun, fire, and masculine power. If you have negative feelings toward this color, then it indicates that you are shutting off your emotions and not letting people in. You fear change.",22,2
Turret,To dream that you are in a turret, implies that you need to get all the facts and see the full picture before making a decision or taking action.,33,2
Turret,Seeing a turret in your dream, indicates that you are feeling defensive about something.,29,2
Turtle,To see a turtle in your dream," symbolizes wisdom, faithfulness, longevity, and loyalty. It also suggests that you need to take it slow in some situation or relationship in your life. With time and patience, you will make steady progress. Alternatively, a turtle indicates that you are sheltering yourself from the realities of life. You are putting forth a hard exterior and not letting others in. As a result, you are feeling withdrawn.",29,2
Turtle,To dream that you are being chased by a turtle," indicates that you are hiding behind a facade, instead of confronting the things that are bothering you.",46,2
Tusk,To see an elephant tusk in your dream, symbolizes sexual desires.,37,1
Tutor,To dream that you are a tutor," suggests that you need to share and impart your knowledge on others. Alternatively, the dream may also be a pun on ""toot her"". In other words, you need to get the attention of some girl.",29,2
Tutor,To see or have a tutor in your dream, indicates that you are seeking some personal advice or guidance. There is something that you still need to learn.,36,2
Tutu,To see or wear a tutu in your dream," symbolizes your femininity or issues with your feminine side. You are struggling with gender roles and what is acceptable. Alternatively, the dream may be a pun on the number 2 or 22. Consider the significance of the number in your waking life.",35,1
Tuxedo,To see or wear a tuxedo in your dream," represents culture, sophistication, and/or grace. It refers to a cultivated passion and your desires for the finer things in life. Alternatively, a tuxedo suggests that you want to amount to something in your life. You want to make a name for yourself and establish your reputation.",37,1
Tweezers,To see tweezers in your dream, indicate that you need to look at a situation much more closely. There is something that requires precision and accuracy.,29,1
